oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, gio 16 apr 2020, 05.54.31, CEST,gio 16 apr 2020, 05.54.36, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, gio 16 apr 2020, 05.54.36, CEST,gio 16 apr 2020, 05.54.42, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, gio 16 apr 2020, 05.54.42, CEST,gio 16 apr 2020, 05.54.48, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, gio 16 apr 2020, 05.54.48, CEST,gio 16 apr 2020, 05.54.55, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, gio 16 apr 2020, 05.54.55, CEST,gio 16 apr 2020, 05.55.01, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, gio 16 apr 2020, 05.55.01, CEST,gio 16 apr 2020, 05.55.06, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, gio 16 apr 2020, 05.55.06, CEST,gio 16 apr 2020, 05.55.11, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, gio 16 apr 2020, 05.55.11, CEST,gio 16 apr 2020, 05.55.17, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, gio 16 apr 2020, 05.55.17, CEST,gio 16 apr 2020, 05.55.22, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitWithVarAppName,test fail, gio 16 apr 2020, 05.55.22, CEST,gio 16 apr 2020, 05.55.27, CEST
